test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.0,0.0002,90.0,0.8391203703703703
0.3,200.0,0.0,0.0002,90.0,0.8310185185185185
0.4,200.0,0.0,0.0002,90.0,0.8125
0.2,300.0,0.0,0.0002,90.0,0.8368055555555556
0.3,300.0,0.0,0.0002,90.0,0.8356481481481481
0.4,300.0,0.0,0.0002,90.0,0.8315972222222222
0.2,400.0,0.0,0.0002,90.0,0.8148148148148148
0.3,400.0,0.0,0.0002,90.0,0.816358024691358
0.4,400.0,0.0,0.0002,90.0,0.8229166666666666
0.2,512.0,0.0,0.0002,90.0,0.8431952662721893
0.3,512.0,0.0,0.0002,90.0,0.8264299802761341
0.4,512.0,0.0,0.0002,90.0,0.8266666666666667
MEAN,,,,,0.8280892695168869
BEST,512.0,,,,0.8431952662721893
WORST,200.0,,,,0.8125
